Date,Open,High,Low,Close,Adj Close,Volume
2011-01-28,418.000000,418.000000,416.000000,413.000000,413.000000,208
2011-01-31,659.619995,659.619995,659.619995,659.619995,659.619995,0
2011-02-01,660.309998,660.309998,660.309998,660.309998,660.309998,0
2011-02-02,416.000000,416.000000,414.000000,414.000000,414.000000,150021
2011-02-03,411.000000,411.000000,411.000000,413.000000,413.000000,50007
2011-02-04,412.000000,412.000000,411.000000,413.000000,413.000000,110007
2011-02-07,658.030029,658.030029,658.030029,658.030029,658.030029,0
2011-02-08,656.669983,656.669983,656.669983,656.669983,656.669983,0
2011-02-09,403.000000,403.000000,403.000000,395.000000,395.000000,10007
2011-02-10,628.619995,628.619995,628.619995,628.619995,628.619995,0
2011-02-11,633.030029,633.030029,633.030029,633.030029,633.030029,0
2011-02-14,405.000000,405.000000,405.000000,403.000000,403.000000,162
2011-02-15,643.229980,643.229980,643.229980,643.229980,643.229980,0
2011-02-16,406.500000,406.500000,406.500000,406.500000,406.500000,0
2011-02-17,404.500000,404.500000,404.500000,404.500000,404.500000,0
2011-02-18,406.200012,406.200012,406.200012,406.200012,406.200012,0
2011-02-21,402.700012,402.700012,402.700012,402.700012,402.700012,0
2011-02-22,396.049988,396.049988,396.049988,396.049988,396.049988,0
2011-02-23,392.399994,392.500000,392.399994,393.799988,393.799988,25000
2011-02-24,387.600006,389.000000,387.500000,390.500000,390.500000,51288
2011-02-25,395.799988,395.799988,395.799988,395.799988,395.799988,0
2011-02-28,397.799988,397.799988,397.799988,397.799988,397.799988,0
2011-03-01,399.549988,399.549988,399.549988,399.549988,399.549988,0
2011-03-02,399.600006,399.600006,399.600006,402.350006,402.350006,25000
2011-03-03,407.200012,407.200012,407.200012,407.200012,407.200012,0
2011-03-04,409.100006,409.100006,409.100006,409.100006,409.100006,0
2011-03-07,410.000000,410.000000,410.000000,409.299988,409.299988,1000
2011-03-08,415.399994,415.399994,414.299988,418.600006,418.600006,25460
2011-03-09,419.299988,419.299988,419.299988,418.100006,418.100006,60
2011-03-10,415.100006,415.100006,415.100006,417.899994,417.899994,25000
2011-03-11,411.500000,411.500000,411.500000,412.899994,412.899994,25000
2011-03-14,411.500000,414.299988,411.500000,411.200012,411.200012,20601
2011-03-15,403.500000,410.100006,399.500000,407.049988,407.049988,37622
2011-03-16,400.600006,410.600006,400.600006,401.049988,401.049988,25243
2011-03-17,395.000000,395.000000,395.000000,391.899994,391.899994,2755
2011-03-18,392.799988,392.799988,392.799988,392.799988,392.799988,0
