Date,Open,High,Low,Close,Adj Close,Volume
2015-04-08,516.000000,516.000000,516.000000,516.000000,516.000000,0
2015-04-09,511.000000,511.000000,511.000000,511.000000,511.000000,0
2015-04-10,521.000000,521.000000,521.000000,521.000000,521.000000,0
2015-04-13,529.549988,529.549988,529.549988,529.549988,529.549988,0
2015-04-14,359.299988,359.299988,359.299988,359.299988,359.299988,0
2015-04-15,358.399994,358.399994,358.399994,358.399994,358.399994,0
2015-04-16,372.700012,372.700012,372.700012,369.600006,369.600006,260
2015-04-17,370.000000,370.000000,370.000000,357.500000,357.500000,1500
2015-04-20,366.649994,366.649994,366.649994,368.450012,368.450012,1500
2015-04-21,380.649994,380.649994,380.649994,380.649994,380.649994,0
2015-04-22,387.850006,387.850006,387.850006,387.850006,387.850006,0
2015-04-23,382.750000,382.750000,382.750000,382.750000,382.750000,0
2015-04-24,383.799988,386.000000,383.799988,380.399994,380.399994,15266
2015-04-27,385.450012,385.450012,385.450012,385.450012,385.450012,0
2015-04-28,382.799988,384.799988,382.799988,378.799988,378.799988,286
2015-04-29,381.899994,381.899994,381.899994,375.649994,375.649994,500
2015-04-30,379.799988,379.799988,376.200012,375.549988,375.549988,1668
2015-05-01,381.600006,381.600006,381.600006,381.200012,381.200012,1048
2015-05-05,373.700012,374.000000,371.899994,368.600006,368.600006,1162
2015-05-06,359.200012,359.200012,359.200012,359.200012,359.200012,0
2015-05-07,351.549988,351.549988,351.549988,351.549988,351.549988,0
2015-05-08,357.700012,357.700012,357.700012,357.700012,357.700012,0
2015-05-11,366.500000,368.700012,366.500000,363.049988,363.049988,6374
2015-05-12,367.399994,367.700012,367.399994,363.700012,363.700012,2712
2015-05-13,364.299988,364.299988,364.299988,359.049988,359.049988,545
2015-05-14,360.000000,360.000000,360.000000,361.649994,361.649994,545
2015-05-15,354.399994,354.399994,354.399994,354.399994,354.399994,0
2015-05-18,356.100006,356.100006,356.100006,352.250000,352.250000,3079
2015-05-19,373.799988,374.000000,373.700012,373.149994,373.149994,3602
2015-05-20,374.100006,374.399994,374.100006,370.549988,370.549988,2344
2015-05-21,381.299988,381.299988,379.299988,375.899994,375.899994,2334
2015-05-22,396.200012,396.200012,396.200012,392.549988,392.549988,375
2015-05-26,413.549988,413.549988,413.549988,413.549988,413.549988,0
2015-05-27,415.500000,416.600006,414.100006,412.450012,412.450012,5436
2015-05-28,387.200012,390.799988,385.000000,386.799988,386.799988,38211
2015-05-29,387.000000,389.799988,379.700012,385.649994,385.649994,23203
2015-06-01,411.799988,411.799988,402.200012,406.299988,406.299988,17603
2015-06-02,410.000000,417.600006,410.000000,410.200012,410.200012,14979
2015-06-03,414.500000,414.500000,414.500000,407.899994,407.899994,696
