Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-09-07,4.970000,4.970000,4.970000,4.970000,4.970000,0
2015-09-08,5.057500,5.057500,5.057500,5.057500,5.057500,0
2015-09-09,5.103750,5.103750,5.103750,5.103750,5.103750,0
2015-09-10,5.081250,5.081250,5.081250,5.081250,5.081250,0
2015-09-11,5.066250,5.066250,5.066250,5.066250,5.066250,0
2015-09-14,5.073750,5.073750,5.073750,5.073750,5.073750,0
2015-09-15,5.090000,5.090000,5.090000,5.090000,5.090000,0
2015-09-16,5.152500,5.152500,5.152500,5.152500,5.152500,0
2015-09-17,5.160000,5.160000,5.160000,5.160000,5.160000,0
2015-09-18,5.090000,5.090000,5.090000,5.090000,5.090000,0
2015-09-21,5.092500,5.092500,5.092500,5.092500,5.092500,0
2015-09-22,4.945000,4.945000,4.945000,4.945000,4.945000,0
2015-09-23,4.961000,4.961000,4.961000,4.961000,4.961000,0
2015-09-24,4.891000,4.891000,4.891000,4.891000,4.891000,0
2015-09-25,4.994500,4.994500,4.994500,4.994500,4.994500,0
2015-09-28,4.900000,4.900000,4.900000,4.870000,4.870000,550000
2015-09-29,4.837500,4.837500,4.837500,4.837500,4.837500,0
2015-09-30,4.918500,4.918500,4.918500,4.918500,4.918500,0
2015-10-01,4.915500,4.915500,4.915500,4.915500,4.915500,0
2015-10-02,4.922500,4.922500,4.922500,4.922500,4.922500,0
2015-10-05,5.090000,5.100000,5.090000,5.070000,5.070000,16900
2015-10-06,5.090000,5.090000,5.090000,5.080000,5.080000,7000
2015-10-07,5.120000,5.130000,5.120000,5.070000,5.070000,36900
2015-10-08,5.115000,5.115000,5.115000,5.115000,5.115000,0
2015-10-09,5.167500,5.167500,5.167500,5.167500,5.167500,0
2015-10-12,5.158750,5.158750,5.158750,5.158750,5.158750,0
2015-10-13,5.170000,5.170000,5.170000,5.150000,5.150000,6900
2015-10-14,5.102500,5.102500,5.102500,5.102500,5.102500,0
2015-10-15,5.135000,5.135000,5.135000,5.135000,5.135000,0
