Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,10.250000,10.900000,10.000000,10.150000,10.150000,119400
2020-12-14,10.590000,10.590000,10.150000,10.160000,10.160000,368700
2020-12-15,10.250000,10.300000,10.070000,10.110000,10.110000,193700
2020-12-16,10.160000,10.250000,10.100000,10.140000,10.140000,354900
2020-12-17,10.160000,10.280000,10.160000,10.200000,10.200000,115500
2020-12-18,10.340000,10.410000,10.200000,10.230000,10.230000,92000
2020-12-21,10.290000,10.400000,10.250000,10.300000,10.300000,174400
2020-12-22,10.500000,10.600000,10.270000,10.320000,10.320000,140500
2020-12-23,10.440000,10.515000,10.300000,10.370000,10.370000,228200
2020-12-24,10.500000,10.605000,10.400000,10.500000,10.500000,226000
2020-12-28,10.850000,11.070000,10.450000,10.600000,10.600000,663300
2020-12-29,10.700000,10.710000,10.430000,10.550000,10.550000,472400
2020-12-30,10.600000,10.610000,10.300000,10.400000,10.400000,359700
2020-12-31,10.430000,10.500000,10.310000,10.410000,10.410000,178300
2021-01-04,10.450000,10.590000,10.370000,10.480000,10.480000,312300
2021-01-05,10.500000,10.500000,10.350000,10.430000,10.430000,323400
2021-01-06,10.400000,10.430000,10.250000,10.260000,10.260000,239600
2021-01-07,10.260000,10.380000,10.260000,10.360000,10.360000,199200
2021-01-08,10.420000,10.530000,10.330000,10.400000,10.400000,264900
2021-01-11,10.420000,10.520000,10.400000,10.500000,10.500000,219000
2021-01-12,10.630000,10.750000,10.490000,10.520000,10.520000,436400
2021-01-13,10.680000,10.720000,10.620000,10.700000,10.700000,339600
2021-01-14,10.850000,10.990000,10.760000,10.870000,10.870000,688800
2021-01-15,11.020000,11.040000,10.660000,10.730000,10.730000,430200
2021-01-19,10.800000,10.840000,10.620000,10.700000,10.700000,239600
2021-01-20,10.700000,10.710000,10.550000,10.700000,10.700000,351900
2021-01-21,10.750000,10.840000,10.600000,10.840000,10.840000,671900
2021-01-22,10.870000,10.930000,10.750000,10.810000,10.810000,236500
2021-01-25,11.010000,11.020000,10.810000,10.860000,10.860000,619500
2021-01-26,10.930000,10.990000,10.570000,10.600000,10.600000,542200
2021-01-27,10.450000,10.660000,10.350000,10.470000,10.470000,966700
2021-01-28,10.540000,10.740000,10.410000,10.650000,10.650000,360300
2021-01-29,10.600000,10.910000,10.500000,10.910000,10.910000,273200
2021-02-01,11.010000,11.110000,10.680000,10.780000,10.780000,658600
2021-02-02,10.900000,11.000000,10.800000,10.920000,10.920000,516200
2021-02-03,10.950000,11.290000,10.906000,11.150000,11.150000,539400
2021-02-04,11.180000,11.430000,11.010000,11.170000,11.170000,499000
2021-02-05,11.670000,11.800000,11.300000,11.600000,11.600000,1142400
2021-02-08,11.950000,11.960000,11.430000,11.510000,11.510000,642500
2021-02-09,11.500000,11.530000,11.300000,11.360000,11.360000,404400
2021-02-10,11.460000,11.500000,11.150000,11.290000,11.290000,510000
2021-02-11,11.290000,11.498000,11.050000,11.170000,11.170000,639400
2021-02-12,11.190000,11.190000,11.020000,11.050000,11.050000,875700
2021-02-16,11.120000,11.120000,10.940000,10.960000,10.960000,988500
2021-02-17,10.900000,11.180000,10.900000,11.120000,11.120000,657400
2021-02-18,10.960000,11.430000,10.950000,11.330000,11.330000,447800
2021-02-19,11.300000,11.520000,11.200000,11.310000,11.310000,212200
2021-02-22,11.200000,11.250000,11.100000,11.140000,11.140000,342300
2021-02-23,10.970000,10.990000,10.510000,10.730000,10.730000,849300
2021-02-24,10.800000,10.860000,10.680000,10.810000,10.810000,297600
2021-02-25,10.750000,10.760000,10.360000,10.400000,10.400000,524200
2021-02-26,10.400000,10.480000,10.300000,10.400000,10.400000,964500
2021-03-01,10.550000,10.590000,10.350000,10.450000,10.450000,604300
2021-03-02,10.500000,10.527000,10.200000,10.260000,10.260000,469000
2021-03-03,10.280000,10.350000,10.070000,10.180000,10.180000,811400
2021-03-04,10.230000,10.300000,9.920000,9.980000,9.980000,747400
2021-03-05,10.010000,10.145000,9.950000,10.110000,10.110000,451900
2021-03-08,10.060000,10.270000,10.048000,10.220000,10.220000,261200
2021-03-09,10.220000,10.330000,10.120000,10.160000,10.160000,171300
2021-03-10,10.140000,10.290000,10.080000,10.290000,10.290000,248400
2021-03-11,10.250000,10.400000,10.190000,10.300000,10.300000,359800
2021-03-12,10.150000,10.330000,10.150000,10.330000,10.330000,124400
2021-03-15,10.330000,10.330000,10.150000,10.210000,10.210000,218800
2021-03-16,10.250000,10.250000,10.050000,10.110000,10.110000,216100
2021-03-17,10.070000,10.160000,10.010000,10.100000,10.100000,281100
2021-03-18,10.200000,10.280000,10.140000,10.180000,10.180000,474900
2021-03-19,10.200000,10.280000,10.050000,10.120000,10.120000,294400
2021-03-22,10.090000,10.180000,10.070000,10.170000,10.170000,219700
2021-03-23,10.100000,10.250000,9.950000,9.970000,9.970000,347500
2021-03-24,9.980000,10.035000,9.850000,9.870000,9.870000,267700
2021-03-25,9.800000,9.840000,9.650000,9.740000,9.740000,649200
2021-03-26,9.720000,9.840000,9.718000,9.790000,9.790000,206100
2021-03-29,9.760000,9.840000,9.720000,9.780000,9.780000,111500
2021-03-30,9.790000,9.790000,9.700000,9.780000,9.780000,204200
2021-03-31,9.780000,9.860000,9.730000,9.860000,9.860000,159700
2021-04-01,9.870000,9.980000,9.870000,9.950000,9.950000,181600
2021-04-05,9.900000,9.980000,9.900000,9.960000,9.960000,149200
2021-04-06,9.900000,9.960000,9.890000,9.940000,9.940000,101100
2021-04-07,9.950000,10.100000,9.940000,10.070000,10.070000,183600
2021-04-08,10.070000,10.140000,10.020000,10.085000,10.085000,258000
2021-04-09,10.010000,10.080000,10.000000,10.010000,10.010000,129400
2021-04-12,10.040000,10.110000,9.970000,10.020000,10.020000,55100
2021-04-13,10.000000,10.050000,10.000000,10.005000,10.005000,77300
2021-04-14,10.015000,10.030000,9.945000,9.980000,9.980000,242000
2021-04-15,9.980000,9.995000,9.970000,9.970000,9.970000,116700
2021-04-16,9.950000,10.010000,9.930000,10.010000,10.010000,93400
2021-04-19,9.900000,9.970000,9.820000,9.870000,9.870000,481000
2021-04-20,9.880000,9.910000,9.850000,9.900000,9.900000,104900
2021-04-21,9.860000,9.962000,9.830000,9.930000,9.930000,125800
2021-04-22,9.880000,9.960000,9.870000,9.880000,9.880000,50300
2021-04-23,9.880000,9.950000,9.870000,9.900000,9.900000,67200
2021-04-26,9.880000,10.130000,9.880000,10.030000,10.030000,110100
2021-04-27,10.000000,10.000000,9.930000,9.960000,9.960000,28500
2021-04-28,10.000000,10.000000,9.890000,9.890000,9.890000,245700
2021-04-29,9.920000,9.990000,9.890000,9.950000,9.950000,497300
2021-04-30,9.930000,9.950000,9.900000,9.920000,9.920000,52300
2021-05-03,9.920000,9.960000,9.910000,9.940000,9.940000,64500
2021-05-04,9.900000,9.960000,9.850000,9.890000,9.890000,189100
2021-05-05,9.900000,9.905000,9.850000,9.870000,9.870000,99600
2021-05-06,9.860000,9.880000,9.820000,9.850000,9.850000,275800
2021-05-07,9.850000,9.910000,9.820000,9.900000,9.900000,78400
2021-05-10,9.860000,9.900000,9.830000,9.850000,9.850000,97100
2021-05-11,9.730000,9.830000,9.730000,9.760000,9.760000,251100
2021-05-12,9.760000,9.850000,9.720000,9.750000,9.750000,404200
2021-05-13,9.750000,9.790000,9.750000,9.750000,9.750000,155900
2021-05-14,9.750000,9.790000,9.740000,9.750000,9.750000,59200
2021-05-17,9.750000,9.800000,9.730000,9.770000,9.770000,77200
2021-05-18,9.764000,9.920000,9.750000,9.820000,9.820000,134600
2021-05-19,9.800000,9.870000,9.780000,9.850000,9.850000,81300
2021-05-20,9.820000,9.860000,9.800000,9.850000,9.850000,7819400
2021-05-21,9.840000,9.860000,9.800000,9.850000,9.850000,725600
2021-05-24,9.870000,9.880000,9.830000,9.840000,9.840000,278900
2021-05-25,9.830000,9.860000,9.820000,9.840000,9.840000,537500
2021-05-26,9.840000,9.860000,9.820000,9.830000,9.830000,150000
2021-05-27,9.830000,9.850000,9.830000,9.830000,9.830000,125300
2021-05-28,9.830000,9.840000,9.810000,9.820000,9.820000,145700
2021-06-01,9.820000,9.830000,9.790000,9.810000,9.810000,310400
2021-06-02,9.810000,9.890000,9.800000,9.880000,9.880000,612700
2021-06-03,9.840000,9.900000,9.830000,9.880000,9.880000,219700
2021-06-04,9.860000,9.890000,9.860000,9.870000,9.870000,447200
2021-06-07,9.850000,9.885000,9.850000,9.870000,9.870000,101700
2021-06-08,9.850000,9.900000,9.850000,9.900000,9.900000,323200
2021-06-09,9.890000,9.930000,9.874000,9.930000,9.930000,322900
2021-06-10,9.940000,9.940000,9.900000,9.910000,9.910000,82000
2021-06-11,9.910000,9.930000,9.900000,9.910000,9.910000,51500
2021-06-14,9.920000,9.920000,9.900000,9.910000,9.910000,97300
2021-06-15,9.890000,9.910000,9.890000,9.910000,9.910000,113400
2021-06-16,9.910000,9.920000,9.900000,9.910000,9.910000,108500
2021-06-17,9.900000,9.910000,9.900000,9.910000,9.910000,36000
2021-06-18,9.896000,9.920000,9.880000,9.910000,9.910000,108900
